company_masked,old_value
1,"Intellectual Property, Climate Change, Sustainable Housing, Home Automation, AI Ethics, Hardware Manufacturing, Yachting, Renewable Agriculture, Online Betting, Horse Racing, PPC Advertising, Social Work, UFO Studies, Human Resources, Automotive"
2,"Human Resources, Copywriting, Annuities & Pensions, Crowdfunding, NFTs, Journalism, Startups"
3,"Life Coaching, Book Publishing, Logistics, Big Data Analytics, 3D Printing, Power Distribution, Compliance & Regulations, SETI, Skincare, Watches"
4,"Food Processing, Remote Work Solutions, Estate Planning, Renewable Agriculture, Fantasy Sports, Astrology, Social Media, Online Betting, Digital Twins, Cybersecurity, Wearable Devices, Online Learning"
5,"Digital Nomad Lifestyle, Mobile Gaming, Smart Cities, Offshore Oil & Gas, Knowledge Management, Wealth Management"
6,"Real Estate, Education, Renewable Energy, Skincare, Semiconductor Industry, Tarot Reading"
7,"Manufacturing, UFO Studies, Transhumanism, Offshore Oil & Gas, Electric Vehicles, Psychology, Marine Technology, Vegan & Organic Foods, Charity Organizations"
8,"Pest Control, Gaming Consoles, Smart Grids"
9,"Tennis, Investment, Legal Tech, Remote Work Productivity, Student Loans, Accounting Services, Firearms & Ammunition, Retirement Planning"
10,"Archaeology, Online Safety, Semiconductor Industry, Herbal Remedies, Diet & Nutrition, Workplace Safety, Pest Control, Dairy Industry, Think Tanks, Search Engine Optimization, Nuclear Energy, Meat Processing, Steel, Cultural Heritage"
11,"Mars Colonization, Astrology, Hospitality, Gig Economy, Personal Branding, Smart Cities, Human Resources, Genetic Engineering"
12,"Virtual Reality, Crisis Management, Smart Cities, Public Housing, Affiliate Marketing, Precious Metals, Transhumanism, Online Learning, Cultural Heritage, E-commerce, Sustainable Housing, Geothermal Energy, Motorsport"
13,"Wholesale, Board Leadership, Content Creation, Augmented Reality, Blockchain, Electric Vehicles, Gaming Consoles, Land Development, Workplace Safety, Private Equity, Humanitarian Aid, Streaming Platforms"
14,"Nuclear Energy, Podcasting, Paranormal Investigations, Cybersecurity, Insurance, IoT, Finance, Disaster Relief"
15,"Satellite Technology, Indie Filmmaking"
16,"Lobbying, Agriculture, Personal Branding, Gardening & Landscaping, Adventure Tourism, Automotive, Digital Nomad Lifestyle"
17,Reputation Management
18,"Fitness Tech, Finance, Adventure Tourism, Neobanks, NFTs & Digital Art, Manufacturing, Motorsport, Ayurveda, Auditing, Nuclear Energy, Nightlife, Diversity & Inclusion, Alternative Medicine"
19,"SaaS, Surveillance, Anti-Money Laundering, Corporate Social Responsibility, Lobbying, Longevity Science, Automotive, Aerospace, Development, Consumer Electronics, Dairy Industry, Social Media, Retirement Planning, Smart Cities"
20,"Small Business Management, Nightlife, Ride-Sharing, Solar Energy, Gig Economy, Hydroelectric Power, Fashion Industry, Education, Biotechnology Startups, Smartwatches, Manufacturing, Business Intelligence, Hospitality, Compliance & Regulations, Gaming Consoles"
21,"Franchising, Recycling Industry, SaaS, Charity Organizations, Corporate Governance, Consumer Electronics, Leadership Training, Luxury Goods, Estate Planning, Biotechnology Startups, Dropshipping, Board Leadership, Remote Work Solutions"
22,"Cyberwarfare, Smart Grids, Interior Design, Venture Capital, Voice Acting, Recycling Industry, Humanitarian Aid, Privacy & Data Protection"
